id,director_gender,tpl_prayer,tpl_praise,tpl_looking_forward,tpl_nb_fcps_with_intervention,tpl_nb_years_partnership,tpl_nb_participants
child_compassion.field_office_bangladesh,M,"Please pray for our country during this season of national leadership transition. Pray for peace, unity, across our nation and for leaders who will serve with integrity a heart for others.","We praise God for his faithful guidance during recent leadership transitions at Compassion Bangladesh. Changes were carried out smoothly and with wisdom, and his guidance and provision were evident throughout.","We look forward to strengthening how we serve children by improving the way we plan and manage resources, including new tools to guide planning and support financial management. This will help local partners to serve with excellence and help us reach more children more quickly with greater impact.",4,19,56875
child_compassion.field_office_bf,M,"Please pray for the restoration of lasting peace in our country. Many families have been displaced by conflict, and we long to see them return home to rebuild their lives and communities with hope and security.","Praise God for strengthening our relationship with the government this year. This partnership has opened doors for greater collaboration and helped us serve more effectively, bringing encouragement to our team and the communities we support.","In the coming year, we look forward to seeing peace established across the land and more young people succeed in their studies and careers, grow in their health and come to know Christ personally. We believe these opportunities will empower them to build a sustainable future, contribute positively to society and become agents of transformation in their communities.",,19,113772
child_compassion.field_office_bo,M,"We have a new president serving from November 2025 through 2030. As our country navigates a challenging economic situation, please join us in praying for our leaders — that they will be guided by the Holy Spirit with wisdom, compassion and a heart for those in need.","The staff in Bolivia have shown remarkable commitment to Compassion’s ministry. Even as their families faced similar challenges, they continued to serve faithfully. We thank God for their dedication and lift up their families in prayer.",Global Compassion leaders are committed to strengthening how we serve children to help release them from poverty in Jesus’ name. Please pray for Compassion Bolivia to guide local churches to support children in ways that fit their unique context.,31,48,100929
child_compassion.field_office_br,F,"Please pray for our new expansion area deep in the Amazon. Reaching these communities often requires long journeys by boat, small plane or canoe. This will be our new adventure to serve even more vulnerable kids in this remote region of Brazil.",We praise the Lord for all the amazing work that Compassion's church partners have been doing and for the thousands of kids impacted by the program and child protection initiatives.,"We look forward to seeing how Compassion will impact vulnerable children living in forgotten places across our vast country, such as the Amazon jungle.",12,48,62652
child_compassion.field_office_co,M,The most vulnerable communities in our country are often those most affected by violence. Please pray that the local church can continue to reach children and families in remote and underserved areas of Colombia despite increasing violence. Pray also that more young people will finish school and go on to higher education so they are not drawn into recruitment by armed groups.,"Praise God for his wisdom and power, which enabled us to carry out a wide-reaching effort to better understand the needs of children and youths. This new approach is helping churches connect more deeply with children and respond more effectively as they support them in overcoming poverty in Jesus' name.","We plan to reach more children living in poverty in remote areas such as Chocó, Tumaco and La Guajira — including Afro-descendant and Indigenous communities — by partnering with local churches already serving these areas.",10,49,88805
child_compassion.field_office_dr,M,"Pray that God will guide us to find creative ways to support Christians who want to serve children living in poverty in the Dominican Republic, equipping them with the resources they need — training, tools, partnerships and funding — to disciple children in every area of life.",We thank the Lord for allowing us to celebrate 55 years of serving children and families living in poverty in the Dominican Republic.,"We look forward to supporting children's ministry in 50 churches in communities without sponsorship support. This will include providing materials for Sunday school, training for church leaders and creative ways to involve parents in their children's development.",3,55,61317
child_compassion.field_office_ec,M,"Please pray that we may continue to bring hope, joy, peace and life to the children and youths we serve alongside the local church. May everything we do reflect his love and expand his kingdom among the most vulnerable, shining a light in every community we serve.","Throughout this year, we have witnessed God's guidance, care, provision and unfailing love. Despite the many challenges our country has faced, God has faithfully protected the children and youths in our programs. We have seen him in every circumstance — from the daily welcome of each child embraced with love to the miracles in the lives of the most vulnerable.",We pray that God will help us remain faithful to the calling he has given us and keep him at the center of all we do. May he continue to use us to bring hope and release children from poverty in Jesus’ name.,,49,87443
child_compassion.field_office_es,M,"Let's pray that God provides protection and provision for communities facing food insecurity and opens the way for children and youths in El Salvador to access education, nutrition and new opportunities.",Praise God that Compassion is equipping our local church partners with new ways to better understand the needs of the children in their care — listening through regular surveys to see where help is needed most and responding with proven initiatives that will make the greatest impact. This empowers us to break the cycle of poverty and despair in young people's lives.,"In the coming year, we look forward to working more closely with Christ-centered denominational leaders, mobilizing the Church toward Bible-based discipleship.",44,46,73327
child_compassion.field_office_et,M,"Concerns around security in some areas of the country are affecting people’s movement and daily life. Please pray for peace to prevail throughout the nation — from north to south, from east to west, and from central areas to remote communities.","Praise God for the unwavering commitment of Ethiopian churches to serve children, families and vulnerable people in every season.","We long to see a growing movement of local churches sponsoring children in poverty with the resources they have, however small. Please pray for a fresh movement of the Holy Spirit to guide, lead and empower Compassion Ethiopia and the local churches in this work.",24,30,137808
child_compassion.field_office_gh,M,"Please pray for wisdom and excellence in all we do. May God guide us to steward resources faithfully, strengthen partnerships, and ensure that every child encounters the love of Christ in a tangible and life-changing way.","We celebrate God’s goodness for a memorable and successful commemoration of 20 years of Compassion’s ministry in Ghana. We rejoice in the remarkable progress we see in the lives of those we serve. Children and youths are growing in their faith, excelling in their studies and experiencing improved health. Caregivers are gaining strength, dignity and renewed purpose. Each testimony is a powerful witness to God’s provision and grace at work.","With God’s help and your continued partnership, we aim to reach more vulnerable communities and deepen our impact in caring for children. We believe the year ahead will bring greater transformation, renewed hope and lasting change for many more children and families.",25,18,100840
